STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,UNIT_MEASURE,Unit of measure,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation value,SOURCE,Source
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM001,Banteay Meanchey,TONES,Tones,A,Annual,2016,,395729,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM001,Banteay Meanchey,TONES,Tones,A,Annual,2017,,433638,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM020,Svay Rieng,TONES,Tones,A,Annual,2014,,300228,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM020,Svay Rieng,TONES,Tones,A,Annual,2015,,301574,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM020,Svay Rieng,TONES,Tones,A,Annual,2016,,294365,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM020,Svay Rieng,TONES,Tones,A,Annual,2017,,313453,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM006,Kampong Thom,TONES,Tones,A,Annual,2014,,384965,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM006,Kampong Thom,TONES,Tones,A,Annual,2015,,403828,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM006,Kampong Thom,TONES,Tones,A,Annual,2016,,402693,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM006,Kampong Thom,TONES,Tones,A,Annual,2017,,437964,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM015,Pursat,TONES,Tones,A,Annual,2014,,216936,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM015,Pursat,TONES,Tones,A,Annual,2015,,215288,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM015,Pursat,TONES,Tones,A,Annual,2016,,211117,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM015,Pursat,TONES,Tones,A,Annual,2017,,247050,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM024,Pailin,TONES,Tones,A,Annual,2014,,15202,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM024,Pailin,TONES,Tones,A,Annual,2015,,11851,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM024,Pailin,TONES,Tones,A,Annual,2016,,8421,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM024,Pailin,TONES,Tones,A,Annual,2017,,10628,,MAFF_Agricultural Statistics_2017,
