DATAFLOW,MEASURE,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
PT:RT(1.0.0),M4,20,10,4,Q,2015-Q3,1.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2015-Q4,15.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2016-Q1,-11.8,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2016-Q2,0.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2016-Q3,1.5,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2016-Q4,14.6,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2017-Q1,-12.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2017-Q2,2.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2017-Q3,0.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2017-Q4,16.7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2018-Q1,-14,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2018-Q2,0.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2018-Q3,1.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2018-Q4,13.8,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2019-Q1,-14.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2019-Q2,2.2,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2019-Q3,-0.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2019-Q4,13.9,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2020-Q1,-12.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2020-Q2,-0.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2020-Q3,7,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2020-Q4,11.5,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2021-Q1,-14.3,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2021-Q2,0.1,PCT,0,,
PT:RT(1.0.0),M4,20,10,4,Q,2021-Q3,2.7,PCT,0,,
